Work Item Type,Title 1,Title 2,Title 3,Title 4,Area Path,Iteration Path
Deliverable,,,,Feedback Summaries,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(11) Project Risk Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,11.7 Monitor Risks,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Risk Register Updates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Risk Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Issue Logs:,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Risk Response Plans,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Risk Audits,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Performance Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Forecasts,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(12) Project Procurement Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,12.3 Control Procurement,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Procurement Performance Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Contract Updates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Orders,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Issue Logs,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Supplier Performance Evaluations,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Audit Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Risk Assessments,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(13) Project Stakeholder Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,13.4 Monitor Stakeholder Engagement,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Stakeholder Engagement Assessment Matrix,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Stakeholder Feedback Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Change Requests,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Issue Logs,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Engagement Performance Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Updated Stakeholder Engagement Plan,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Meeting Minutes and Records,Add Your Area Path Here,Add Your Iteration Path Here
Process Group,Closing,,,,Add Your Area Path Here,Add Your Iteration Path Here
Knowledge Area,,(4) Project Integration Management,,,Add Your Area Path Here,Add Your Iteration Path Here
Process,,,4.7 Close Project or Phase,,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,"Final Product, Service, or Result Transition",Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Final Report,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Lessons Learned Register,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Formal Acceptance Documentation,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Project Documents Updates,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Closeout Reports,Add Your Area Path Here,Add Your Iteration Path Here
Deliverable,,,,Organizational Process Assets Updates,Add Your Area Path Here,Add Your Iteration Path Here
